section_id,title,ROLE_01_ARCHITECT,ROLE_02_RESEARCHER,ROLE_03_ANALYST,ROLE_04_CRITIC,ROLE_05_SECURITY_AUDITOR,ROLE_06_IMPLEMENTER,ROLE_07_REFACTORER,ROLE_08_TESTER,ROLE_09_VERIFIER,ROLE_10_DOCUMENTATION_WRITER,ROLE_11_TEACHER,ROLE_12_PLANNER,ROLE_13_COORDINATOR,ROLE_14_OBSERVER,ROLE_15_MEMORY_CURATOR,ROLE_16_GOVERNANCE_REVIEWER,ROLE_17_RED_TEAM,ROLE_18_OPTIMIZER,ROLE_19_USER_EXPERIENCE_REVIEWER,ROLE_20_DECISION_ARBITER_ADVISORY,ROLE_21_GUIDEBOOK_ARCHITECT,specialist_expertise_cues_not_authority
001,Research,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,Primary role:;evaluates;organizes;reports source-grounded information within the accepted question;authority boundary;Common supporting roles:;user;process;patterns;constraints;implications;interfaces;trust;implementation sequencing;dependencies;cost;decision points;decisions;continuity;retrievable research state;owner research addresses actual journeys;comprehension;agency;failure;recovery;Challenge;assurance roles where consequence warrants:;framing;omissions;unsupported conclusions;evidence integrity;reproducibility;claim boundaries;threat exposure;research handling;consent;provenance;policy;evidence obligations;manipulation;blind spots;failure-inducing assumptions;Role selection must use the smallest sufficient set;must not alter the source-defined role contracts
002,Foresight / Futures,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,Primary roles:;evaluates evidence concerning drivers;historical patterns;current signals;time-sensitive findings;conflicting sources;alternative explanations;second-order effects;scenario differences;sensitivity;uncertainty;decision implications;Common supporting roles:;interfaces;modularity;portability;resilience;authority;recovery;retirement;indicators;decision gates;staged commitments;dependencies;review triggers to an executable roadmap;social;technical;user;environmental signals without silently interpreting them as trends;forecast dates;evidence;decisions;outcomes;lessons so future review can compare expectation with reality;owner;operator;accessibility;comprehension;trust;recovery effects;Challenge;assurance roles where consequence warrants:;hidden assumptions;internal consistency;framing;omitted consequences;accountability;consent;institutional;policy;human-control implications;technologies;attack surfaces;cryptographic assumptions;dependencies;defensive capability may change;discontinuity;misuse;capture;failure;loss-of-control futures;support of material evidence;forecast baselines;scenario logic;indicators;claims about resilience;sensitivity;reversibility;conditions;residual uncertainty while preserving human decision authority;Role selection must use the smallest sufficient set;must not alter the source-defined role contracts
003,Innovation,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,Primary roles:;current state;prior art;source quality;unresolved evidence;assumptions;effects;costs;risks;decision implications;boundaries;interfaces;invariants;implementation consequences without treating the concept as built;Common supporting roles:;dependencies;gates;rollback;completion evidence;agency;comprehension;accessibility;recovery;outcomes without unsupported interpretation;preserves provenance across parallel exploration;keeps recommendations advisory unless authority is explicit;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;data exposure;trust-boundary changes;controls required before testing;seductive demonstrations;bypasses;hidden externalities;failure under adversarial conditions;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
004,Mission Strategy,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,Primary roles:;source intent;affected parties;evidence base;tradeoffs;outcomes;alternatives;assumptions;second-order effects;Common supporting roles:;amendments;rationale;dissent;superseded language;user journeys;invariants implied by the mission;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;metric gaming;coercive interpretation;exclusion;harmful optimization;conditions where security compromise would defeat the mission;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
005,Business Strategy,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,Primary roles:;economics;capabilities;dependencies;risks;consequences;customer;competitor;regulatory;operating evidence;preserves uncertainty;dissent;Common supporting roles:;platform;integration;data;trust;operational implications;experiments;gates;resources;contingencies;assumptions;commitments;review triggers;comprehension;accessibility;or complete journeys;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;data;infrastructure;identities;external dependencies;incentive failures;platform dependence;adversarial market response;catastrophic assumptions;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
006,Product Strategy,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,Primary roles:;contexts;alternatives;product evidence;source quality;capabilities;tradeoffs;decision implications;journeys;agency;comprehension;accessibility;failure;recovery;Common supporting roles:;system boundaries;experiments;roadmap gates;product lifecycle work;user behavior without unsupported interpretation;capability boundaries;user-facing truth;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;identity;data;abuse;dependency implications;deceptive affordances;automation bias;capability overclaim;recovery failure;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
007,Portfolio Management,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,Primary roles:;sensitivity;risk;dependency;outcome analysis;dependencies;gates;time horizons;Common supporting roles:;dependency;evidence;conflict visibility across initiatives;duplication;technical concentration risk;validates external assumptions;decisions;assumptions;retirement knowledge;detects changes without interpreting them as value;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;systemic dependencies;concentration of sensitive assets;gaming;hidden coupling;resource optimism;failure of correlated initiatives;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
008,Program Management,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,Primary roles:;phases;gates;risks;resources;completion evidence;synchronizes;tracks;reconciles;hands off workstreams while preserving provenance;conflict;benefits;dependencies;scenarios;decision implications;Common supporting roles:;interfaces;standards;integration;trust;technical decision dependencies;workstream state without interpreting activity as success;versions;continuity;retrievable program history;interface records;operating guides;transition documents;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;boundary;failure;recovery behavior across workstreams;identity;data;supply-chain;shared-infrastructure risk;dependency failure;status laundering;integration gaps;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
009,Project Management,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,Primary roles:;dependencies;phases;gates;risks;schedule;resources;completion evidence;synchronizes bounded work;tracks evidence;preserves conflict;consolidates results;events;transitions;gaps without interpreting activity as success;Common supporting roles:;constraints;interfaces;implementation sequence where assigned;acceptance criteria;boundary;failure;recovery behavior;operating;decision;handoff records;provenance;decisions;next safe action;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;data;access;supply-chain;deployment risk;hidden dependencies;bypasses;false-readiness claims;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
010,Product Management,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,Primary roles:;options;prioritization;outcomes;tradeoffs;complete journeys;comprehension;accessibility;agency;recovery;delivery;release;migration;lifecycle work by dependencies;evidence gates;Common supporting roles:;evaluates user;market;competitor;domain;regulatory evidence;preserves status;evidence;conflict;interface;data;trust;technical-dependency implications;incidents;user outcomes without unsupported causation;rationale;roadmap history;continuity;Challenge;assurance roles where consequence warrants:;hidden assumptions;omitted alternatives;unsupported confidence;evidence integrity;acceptance boundaries;the exact status of claims;authority;delegation;policy;evidence;human decision boundaries;complete journeys;data;identity;abuse;provider risks;dark patterns;misuse;deceptive status;failure recovery;Role selection must use the smallest sufficient set;preserve chamber independence where review is required;leave every source-defined role contract unchanged
