relevance_score,section_id,title,training_priority,domain_cues
98,020,Systems Engineering,critical,general_lifecycle
97,018,Risk Management,critical,earth_stewardship
80,023,Systems Architecture,critical,general_lifecycle
77,027,Process Architecture,critical,general_lifecycle
76,026,Capability Architecture,critical,general_lifecycle
74,029,Operational Architecture,critical,general_lifecycle
65,107,Software Engineering,critical,general_lifecycle
65,019,Requirements Engineering,critical,general_lifecycle
65,002,Foresight / Futures,critical,general_lifecycle
64,017,Feasibility Analysis,critical,general_lifecycle
61,308,AI Operations,critical,"ai_reasoning, continuity_operations"
61,189,Cybersecurity Engineering,critical,security_authority
60,022,Solution Architecture,critical,general_lifecycle
60,021,Enterprise Architecture,critical,general_lifecycle
60,016,Domain Analysis,critical,general_lifecycle
59,015,User Research,critical,human_relations
58,028,Functional Architecture,critical,general_lifecycle
58,025,Business Architecture,critical,general_lifecycle
56,208,Threat Modeling,critical,ai_reasoning
55,178,Agent Systems Engineering,critical,ai_reasoning
54,245,Chaos Engineering,critical,general_lifecycle
51,391,Data Retention,critical,general_lifecycle
50,008,Program Management,critical,general_lifecycle
50,005,Business Strategy,critical,general_lifecycle
49,035,Infrastructure Architecture,critical,earth_stewardship
49,024,Domain Architecture,critical,general_lifecycle
48,050,Safety Architecture,critical,"human_relations, earth_stewardship"
48,007,Portfolio Management,critical,general_lifecycle
48,003,Innovation,critical,general_lifecycle
47,032,Application Architecture,critical,general_lifecycle
45,151,Database Engineering,critical,general_lifecycle
45,001,Research,critical,general_lifecycle
43,383,Platform Migration,critical,general_lifecycle
43,166,Operations Research,critical,continuity_operations
42,405,Lifecycle Governance,critical,"human_relations, security_authority"
42,252,Safety Testing,critical,"human_relations, earth_stewardship"
42,244,Resilience Testing,critical,general_lifecycle
42,214,Incident Response,critical,continuity_operations
42,182,AI Safety,critical,"human_relations, earth_stewardship, ai_reasoning"
42,010,Product Management,critical,general_lifecycle
41,350,Supply Chain Management,critical,earth_stewardship
41,270,DevSecOps,critical,general_lifecycle
41,040,Communications Architecture,high,general_lifecycle
40,225,Records Management,critical,general_lifecycle
40,211,Red Teaming,critical,general_lifecycle
40,198,Embedded Security,critical,security_authority
40,186,Prompt Engineering,critical,general_lifecycle
39,399,Hardware Disposal,critical,earth_stewardship
39,301,Site Reliability Engineering,critical,general_lifecycle
39,069,Embedded Software Engineering,critical,general_lifecycle
39,052,Resilience Architecture,critical,general_lifecycle
38,313,Observability Engineering,critical,continuity_operations
38,183,AI Governance,critical,"human_relations, ai_reasoning, security_authority"
37,396,Account Closure,critical,general_lifecycle
37,333,Technical Support,critical,general_lifecycle
37,312,IT Operations,critical,continuity_operations
37,259,Source Control Management,critical,general_lifecycle
36,384,Modernization,critical,general_lifecycle
36,357,Distribution,critical,general_lifecycle
36,305,Network Operations,high,continuity_operations
36,263,Environment Management,critical,earth_stewardship
36,231,Software Testing,critical,general_lifecycle
36,105,Prototyping,critical,general_lifecycle
35,349,Vendor Management,high,general_lifecycle
35,253,Model Testing,critical,ai_reasoning
35,106,User Validation,critical,human_relations
35,066,Semiconductor Engineering,critical,general_lifecycle
35,011,Business Analysis,critical,general_lifecycle
34,406,System Retirement,high,continuity_operations
34,330,Failover Engineering,critical,general_lifecycle
34,218,Privacy Engineering,critical,human_relations
34,093,XR Design,critical,general_lifecycle
34,012,Market Research,critical,general_lifecycle
34,006,Product Strategy,critical,general_lifecycle
33,378,Software Updates,critical,general_lifecycle
33,348,Procurement,critical,general_lifecycle
33,246,Security Testing,critical,security_authority
33,194,Cloud Security,critical,security_authority
33,137,Digital Twin Engineering,critical,general_lifecycle
33,109,Algorithm Engineering,high,general_lifecycle
33,058,Robotics Architecture,critical,earth_stewardship
33,045,Security Architecture,critical,security_authority
33,013,Competitive Intelligence,high,general_lifecycle
32,327,Disaster Recovery,critical,"earth_stewardship, continuity_operations"
32,326,Business Continuity,critical,continuity_operations
32,307,Data Operations,critical,continuity_operations
32,289,Change Management,critical,general_lifecycle
32,277,Cloud Engineering,critical,general_lifecycle
32,217,Trust and Safety,critical,"human_relations, earth_stewardship"
32,210,Penetration Testing,high,general_lifecycle
32,185,Model Operations,critical,"ai_reasoning, continuity_operations"
32,154,Data Modeling,critical,ai_reasoning
32,147,Recommendation Systems Engineering,high,general_lifecycle
32,128,API Engineering,critical,general_lifecycle
31,388,Version Management,critical,general_lifecycle
31,235,System Testing,high,general_lifecycle
